,Lines
796,"obstinit, and wery lazy, Gen'l'men, and there's nothink like a good hot"
797,"blaze to make 'em come down vith a run.  It's humane too, gen'l'men,"
798,"acause, even if they've stuck in the chimbley, roasting their feet"
799,makes 'em struggle to hextricate theirselves.'
801,The gentleman in the white waistcoat appeared very much amused by this
802,explanation; but his mirth was speedily checked by a look from Mr.
803,Limbkins.  The board then proceeded to converse among themselves for a
804,"few minutes, but in so low a tone, that the words 'saving of"
805,"expenditure,' 'looked well in the accounts,' 'have a printed report"
806,"published,' were alone audible.  These only chanced to be heard,"
807,"indeed, or account of their being very frequently repeated with great"
808,emphasis.
810,"At length the whispering ceased; and the members of the board, having"
811,"resumed their seats and their solemnity, Mr. Limbkins said:"
813,"'We have considered your proposition, and we don't approve of it.'"
815,"'Not at all,' said the gentleman in the white waistcoat."
817,"'Decidedly not,' added the other members."
819,As Mr. Gamfield did happen to labour under the slight imputation of
820,"having bruised three or four boys to death already, it occurred to him"
821,"that the board had, perhaps, in some unaccountable freak, taken it into"
822,their heads that this extraneous circumstance ought to influence their
823,"proceedings. It was very unlike their general mode of doing business,"
824,"if they had; but still, as he had no particular wish to revive the"
825,"rumour, he twisted his cap in his hands, and walked slowly from the"
826,table.
828,"'So you won't let me have him, gen'l'men?' said Mr. Gamfield, pausing"
829,near the door.
831,"'No,' replied Mr. Limbkins; 'at least, as it's a nasty business, we"
832,think you ought to take something less than the premium we offered.'
834,"Mr. Gamfield's countenance brightened, as, with a quick step, he"
835,"returned to the table, and said,"
837,"'What'll you give, gen'l'men?  Come!  Don't be too hard on a poor man."
838,What'll you give?'
840,"'I should say, three pound ten was plenty,' said Mr. Limbkins."
842,"'Ten shillings too much,' said the gentleman in the white waistcoat."
844,"'Come!' said Gamfield; 'say four pound, gen'l'men.  Say four pound, and"
845,you've got rid of him for good and all.  There!'
847,"'Three pound ten,' repeated Mr. Limbkins, firmly."
849,"'Come!  I'll split the diff'erence, gen'l'men,' urged Gamfield. 'Three"
850,pound fifteen.'
852,"'Not a farthing more,' was the firm reply of Mr. Limbkins."
854,"'You're desperate hard upon me, gen'l'men,' said Gamfield, wavering."
856,'Pooh!  pooh!  nonsense!' said the gentleman in the white waistcoat.
857,"'He'd be cheap with nothing at all, as a premium. Take him, you silly"
858,"fellow!  He's just the boy for you.  He wants the stick, now and then:"
859,"it'll do him good; and his board needn't come very expensive, for he"
860,hasn't been overfed since he was born.  Ha!  ha!  ha!'
862,"Mr. Gamfield gave an arch look at the faces round the table, and,"
863,"observing a smile on all of them, gradually broke into a smile himself."
864,"The bargain was made.  Mr. Bumble, was at once instructed that Oliver"
865,"Twist and his indentures were to be conveyed before the magistrate, for"
866,"signature and approval, that very afternoon."
868,"In pursuance of this determination, little Oliver, to his excessive"
869,"astonishment, was released from bondage, and ordered to put himself"
870,into a clean shirt.  He had hardly achieved this very unusual gymnastic
871,"performance, when Mr. Bumble brought him, with his own hands, a basin"
872,"of gruel, and the holiday allowance of two ounces and a quarter of"
873,"bread. At this tremendous sight, Oliver began to cry very piteously:"
874,"thinking, not unnaturally, that the board must have determined to kill"
875,"him for some useful purpose, or they never would have begun to fatten"
876,him up in that way.
878,"'Don't make your eyes red, Oliver, but eat your food and be thankful,'"
879,"said Mr. Bumble, in a tone of impressive pomposity. 'You're a going to"
880,"be made a 'prentice of, Oliver.'"
882,"'A prentice, sir!' said the child, trembling."
884,"'Yes, Oliver,' said Mr. Bumble.  'The kind and blessed gentleman which"
885,"is so many parents to you, Oliver, when you have none of your own: are"
886,"a going to 'prentice' you: and to set you up in life, and make a man of"
887,you: although the expense to the parish is three pound ten!--three
888,"pound ten, Oliver!--seventy shillins--one hundred and forty"
889,sixpences!--and all for a naughty orphan which nobody can't love.'
891,"As Mr. Bumble paused to take breath, after delivering this address in"
892,"an awful voice, the tears rolled down the poor child's face, and he"
893,sobbed bitterly.
895,"'Come,' said Mr. Bumble, somewhat less pompously, for it was gratifying"
896,to his feelings to observe the effect his eloquence had produced;
897,"'Come, Oliver!  Wipe your eyes with the cuffs of your jacket, and don't"
898,"cry into your gruel; that's a very foolish action, Oliver.'  It"
899,"certainly was, for there was quite enough water in it already."
901,"On their way to the magistrate, Mr. Bumble instructed Oliver that all"
902,"he would have to do, would be to look very happy, and say, when the"
903,"gentleman asked him if he wanted to be apprenticed, that he should like"
904,it very much indeed; both of which injunctions Oliver promised to obey:
905,"the rather as Mr. Bumble threw in a gentle hint, that if he failed in"
906,"either particular, there was no telling what would be done to him. When"
907,"they arrived at the office, he was shut up in a little room by himself,"
908,"and admonished by Mr. Bumble to stay there, until he came back to fetch"
909,him.
911,"There the boy remained, with a palpitating heart, for half an hour.  At"
912,"the expiration of which time Mr. Bumble thrust in his head, unadorned"
913,"with the cocked hat, and said aloud:"
915,"'Now, Oliver, my dear, come to the gentleman.'  As Mr. Bumble said"
916,"this, he put on a grim and threatening look, and added, in a low voice,"
917,"'Mind what I told you, you young rascal!'"
919,Oliver stared innocently in Mr. Bumble's face at this somewhat
920,contradictory style of address; but that gentleman prevented his
921,"offering any remark thereupon, by leading him at once into an adjoining"
922,"room: the door of which was open. It was a large room, with a great"
923,"window.  Behind a desk, sat two old gentleman with powdered heads: one"
924,"of whom was reading the newspaper; while the other was perusing, with"
925,"the aid of a pair of tortoise-shell spectacles, a small piece of"
926,parchment which lay before him.  Mr. Limbkins was standing in front of
927,"the desk on one side; and Mr. Gamfield, with a partially washed face,"
928,"on the other; while two or three bluff-looking men, in top-boots, were"
929,lounging about.
931,"The old gentleman with the spectacles gradually dozed off, over the"
932,"little bit of parchment; and there was a short pause, after Oliver had"
933,been stationed by Mr. Bumble in front of the desk.
935,"'This is the boy, your worship,' said Mr. Bumble."
937,The old gentleman who was reading the newspaper raised his head for a
938,"moment, and pulled the other old gentleman by the sleeve; whereupon,"
939,the last-mentioned old gentleman woke up.
941,"'Oh, is this the boy?' said the old gentleman."
